return_value,timestamp
0.20312059351028708,2025-06-25 19:33:33
0.199658203125,2025-06-25 19:33:33
0.20349515969293028,2025-06-25 19:33:33
0.20943804827584114,2025-06-25 19:33:33
0.17368745594054724,2025-06-25 19:34:12
0.17647494708392017,2025-06-25 19:34:12
0.16080109096310966,2025-06-25 19:34:12
0.159814453125,2025-06-25 19:34:12
0.18310546875,2025-06-25 19:34:47
-0.06663148121799872,2025-06-25 19:34:47
0.19231960644629414,2025-06-25 19:34:47
0.10511769148814554,2025-06-25 19:34:47
-0.11899128605573092,2025-06-25 19:35:22
-0.11266998912556642,2025-06-25 19:35:22
-0.12142022669724684,2025-06-25 19:35:22
-0.04603687685862928,2025-06-25 19:35:22
0.2321428945692316,2025-06-25 19:35:57
0.3918480553694701,2025-06-25 19:35:57
-0.10084804415182416,2025-06-25 19:35:57
0.1662166027287217,2025-06-25 19:35:57
0.5236413895813005,2025-06-25 19:36:47
0.45163146878307014,2025-06-25 19:36:47
-0.14647319053192484,2025-06-25 19:36:47
0.25242381468146924,2025-06-25 19:36:47
0.010020210390067535,2025-06-25 19:37:22
0.16045601150373695,2025-06-25 19:37:22
0.16970021734958893,2025-06-25 19:37:22
-0.15436165328975748,2025-06-25 19:37:22
0.05669425311937318,2025-06-25 19:37:57
0.02755516334759253,2025-06-25 19:37:57
-0.12493894515497717,2025-06-25 19:37:57
-0.15682180260605524,2025-06-25 19:37:57
-0.018669880508644626,2025-06-25 19:38:31
-0.10389680814703814,2025-06-25 19:38:31
-0.13554901400698036,2025-06-25 19:38:31
-0.11237112191048135,2025-06-25 19:38:31
0.27370747925274835,2025-06-25 19:39:06
-0.1137850529669876,2025-06-25 19:39:06
-0.06779348211465086,2025-06-25 19:39:06
-0.11817070533838706,2025-06-25 19:39:06
