episode,prompt,avg_reward,best_reward,reward_1,reward_2,reward_3,reward_4,timestamp
1,aerial view of ancient mars craters on heavily cratered surface with degraded rims,0.01969992133461417,0.01969992133461417,0.0,0.046341816159829824,0.022505945166008984,0.009951924012617864,2025-06-24 15:52:22
2,ground view of bowl-shaped mars craters on sandy terrain with rounded rims and curved interiors,0.00010064172118947492,0.01969992133461417,0.0,6.88230486724284e-05,0.00017079587567325126,0.00016294796041222,2025-06-24 15:53:10
3,aerial view of hexagonal mars craters on polygonal terrain with angular rims and geometric patterns,-0.38182047046550327,0.01969992133461417,6.770185876771306e-05,-0.5438110637334621,-0.5039418012384981,-0.47959671874882065,2025-06-24 15:53:54
4,aerial view of hexagonal mars craters on polygonal terrain with angular rims and geometric patterns,-0.4319639527341331,0.01969992133461417,-0.4554735856509788,-0.4379863464422598,-0.42391958013661624,-0.41047629870667757,2025-06-24 15:54:38
5,ground view of buried mars craters on dusty terrain with hidden rims and obscured centers,-0.3718845394985944,0.01969992133461417,-0.3962616245881594,-0.3817396838492826,-0.3559443804322475,-0.3535924691246881,2025-06-24 15:55:22
6,aerial view of ancient mars craters on heavily cratered surface with degraded rims,-0.3360794222944445,0.01969992133461417,-0.3528605977808931,-0.3404152149900073,-0.3271944057118616,-0.3238474706950159,2025-06-24 15:56:08
7,ground view of shallow mars craters on flat plain with gentle rims and filled centers,-0.30845860713812634,0.01969992133461417,-0.3124961571445878,-0.314521248335233,-0.30653855504529987,-0.30027846802738456,2025-06-24 15:56:52
8,ground view of double mars craters on fractured terrain with twin rims and divided centers,-0.2859190563439584,0.01969992133461417,-0.2940833649256721,-0.2911114525834223,-0.282576820438919,-0.2759045874278202,2025-06-24 15:57:36
9,ground view of double mars craters on fractured terrain with twin rims and divided centers,-0.2651325024539345,0.01969992133461417,-0.26123797707681573,-0.27112560790515045,-0.26326736995402245,-0.26489905487974946,2025-06-24 15:58:21
10,ground view of simple mars craters on uniform terrain with basic rims and plain interiors,-0.25428883557443827,0.01969992133461417,-0.2605721952158511,-0.25407309674684586,-0.25393009904619834,-0.2485799512888579,2025-06-24 15:59:06
11,ground view of double mars craters on fractured terrain with twin rims and divided centers,-0.23530840834815667,0.01969992133461417,-0.24732322306640797,-0.23135611549338486,-0.22790933089607696,-0.2346449639367568,2025-06-24 15:59:51
